web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717212108-56","https://www.expat-dakar.com/machines-a-laver?page=14","MACHINE À LAVER LG 9Kg SILVER
Neuf
Plateau,
Dakar

17. avr., 23:25

389 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/machine-a-laver-lg-9kg-silver-6050302","MACHINE À LAVER LG 9Kg SILVER","Neuf","Plateau

Dakar","389 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/649546f3f39b9f066c59c2fb3b9df976/-/horizon-files-prod/ed/picture/qv4e8w0j/dc4a30dbb081eb0f0700b767d3f57ccd082df474.jpg"
"1717212111-57","https://www.expat-dakar.com/machines-a-laver?page=14","Whirlpool 12kg FRR12451
Venant
Liberte 6 extension,
Dakar

18. avr., 14:07

220 000 F Cfa

776562988","https://www.expat-dakar.com/annonce/whirlpool-12kg-frr12451-6030959","Whirlpool 12kg FRR12451","Venant","Liberte 6 extension

Dakar","220 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a4ff01929ddaa93592304f45c9c1b9bf/-/horizon-files-prod/ed/picture/qj4r0x9w/85bf9a7ac1a4e3357d13ca6d9178a95bb952d7bb.jpg"
"1717212115-58","https://www.expat-dakar.com/machines-a-laver?page=14","Bosch 7kg A+++
Venant
Liberte 6 extension,
Dakar

18. avr., 20:44

125 000 F Cfa

776562988","https://www.expat-dakar.com/annonce/bosch-7kg-a-6051175","Bosch 7kg A+++","Venant","Liberte 6 extension

Dakar","125 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/443b7982af79b30f54be746002f15a13/-/horizon-files-prod/ed/picture/q448k0pp/310dcc5de3d1b82e553d3a2a1b78281e455df900.jpg"
"1717212119-59","https://www.expat-dakar.com/machines-a-laver?page=14","MACHINE A LAVER DESKA 7KG SILVER WM-7DK
Neuf
Plateau,
Dakar

18. avr., 22:00

189 900 F Cfa

773448645","https://www.expat-dakar.com/annonce/machine-a-laver-deska-7kg-silver-wm-7dk-6051196","MACHINE A LAVER DESKA 7KG SILVER WM-7DK","Neuf","Plateau

Dakar","189 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0aa0f0ae5791090113cf001f9d4c34a9/-/horizon-files-prod/ed/picture/q8v56pn9/367278454d4abb9578cee70807cc0cba67a413dd.jpg"
"1717212126-60","https://www.expat-dakar.com/machines-a-laver?page=13","Lampadaire 150w
Neuf
Pikine,
Dakar

20. avr., 09:24

22 500 F Cfa

783737491","https://www.expat-dakar.com/annonce/lampadaire-150w-6052184","Lampadaire 150w","Neuf","Pikine

Dakar","22 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b992a7f9740321ccab123ec50766d55a/-/horizon-files-prod/ed/picture/qdek8260/8c5d100aff97032961cfcafd3f652a278e27c37a.jpg"
"1717212130-61","https://www.expat-dakar.com/machines-a-laver?page=13","Machine seche linge Beko a vendre
Neuf
Hann maristes,
Dakar

20. avr., 09:27

230 000 F Cfa

788622579","https://www.expat-dakar.com/annonce/machine-seche-linge-beko-a-vendre-6052057","Machine seche linge Beko a vendre","Neuf","Hann maristes

Dakar","230 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6c2a7fcd11518dd7fca573b077c8420/-/horizon-files-prod/ed/picture/qgq9xdm0/c4fc9a24f7e0c45ca2a133a1512c57be78ab8a90.jpg"
"1717212133-62","https://www.expat-dakar.com/machines-a-laver?page=13","Samsung 9kg A+++
Venant
Liberte 6 extension,
Dakar

20. avr., 18:01

165 000 F Cfa

776562988","https://www.expat-dakar.com/annonce/samsung-9kg-a-6051389","Samsung 9kg A+++","Venant","Liberte 6 extension

Dakar","165 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bc0ea138a5da9d90d1de2cc20714732/-/horizon-files-prod/ed/picture/q7852pe5/452176f8a4ca422d7212cc80e42852e582773c07.jpg"
"1717212137-63","https://www.expat-dakar.com/machines-a-laver?page=13","MACHINE A LAVER HISENSE 6KG
Neuf
Plateau,
Dakar

7. mai, 11:31

170 000 F Cfa

779152473

776784088","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-6kg-6052663","MACHINE A LAVER HISENSE 6KG","Neuf","Plateau

Dakar","170 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b90247c6ab9325787208449fdbe5196/-/horizon-files-prod/ed/picture/q56xjg56/ec0f0386009061fe173ad53c8305532ae0168aaa.jpg"
"1717212141-64","https://www.expat-dakar.com/machines-a-laver?page=13","MACHINE A LAVER DESKA 9KG SILVER WM-09DK
Neuf
Plateau,
Dakar

20. avr., 21:00

229 900 F Cfa

773448645","https://www.expat-dakar.com/annonce/machine-a-laver-deska-9kg-silver-wm-09dk-6052723","MACHINE A LAVER DESKA 9KG SILVER WM-09DK","Neuf","Plateau

Dakar","229 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/86b5f00cea92cce94f4de7c12b9375ed/-/horizon-files-prod/ed/picture/q7852gdz/cb8449ee118c1c2deac49e703ed8743279b81718.jpg"
"1717212143-65","https://www.expat-dakar.com/machines-a-laver?page=13","MACHINE A LAVER ELACTRON 12KG NOIR EL- W1200MVB
Neuf
Plateau,
Dakar

21. avr., 19:30

335 000 F Cfa

773448645","https://www.expat-dakar.com/annonce/machine-a-laver-elactron-12kg-noir-el-w1200mvb-6053155","MACHINE A LAVER ELACTRON 12KG NOIR EL- W1200MVB","Neuf","Plateau

Dakar","335 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/feb5c8e255e5c1e6341156835d3d4086/-/horizon-files-prod/ed/picture/qxj2rxzq/747c6ce84cdbcaf63bf24f7d3b8c63bf4adaa826.jpg"
