web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,adresse,prix,etat,image_lien-src
"1717212275-110","https://www.expat-dakar.com/cuisinieres-fours?page=9","CUISINER ASTECH 5 FEUX AVEC GRILLE TORNO PROCHE
Neuf
Plateau,
Dakar

vendredi, 11:53

197 900 F Cfa

775267261","https://www.expat-dakar.com/annonce/cuisiner-astech-5-feux-avec-grille-torno-proche-3495670","CUISINER ASTECH 5 FEUX AVEC GRILLE TORNO PROCHE","Plateau

Dakar","197 900 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/35970fda13bfe5a2c7bd3f0aefce3e24/-/horizon-files-prod/ed/picture/q9xp5w8/9be1a785446a119b270035fb89f382d60e124502.jpg"
"1717212277-111","https://www.expat-dakar.com/cuisinieres-fours?page=9","Four électrique 38 litres Vegas
Neuf
Grand-Yoff,
Dakar

10. mai, 23:06

39 000 F Cfa

772401862

709148352","https://www.expat-dakar.com/annonce/four-electrique-38-litres-vegas-6067472","Four électrique 38 litres Vegas","Grand-Yoff

Dakar","39 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/68e763911bbb9f2395621ce6bc2a7066/-/horizon-files-prod/ed/picture/qwe2v4zp/584d066fe1ae0c0f8daa2de4256f64d03f9721d1.jpg"
"1717212278-111","https://www.expat-dakar.com/cuisinieres-fours?page=9","Four électrique 38 litres Vegas
Neuf
Grand-Yoff,
Dakar

10. mai, 23:06

39 000 F Cfa

772401862

709148352","https://www.expat-dakar.com/annonce/four-electrique-38-litres-vegas-6067472","Four électrique 38 litres Vegas","Grand-Yoff

Dakar","39 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/68e763911bbb9f2395621ce6bc2a7066/-/horizon-files-prod/ed/picture/qwe2v4zp/584d066fe1ae0c0f8daa2de4256f64d03f9721d1.jpg"
"1717212279-112","https://www.expat-dakar.com/cuisinieres-fours?page=9","CUISINIÈRE TECHNOLUX 5FEUX INOX 90X60 FULL OPIONS
Neuf
Plateau,
Dakar

11. mai, 01:26

234 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/cuisiniere-technolux-5feux-inox-90x60-full-opions-6067505","CUISINIÈRE TECHNOLUX 5FEUX INOX 90X60 FULL OPIONS","Plateau

Dakar","234 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca67271fa2275a2f96e02614ae582a2a/-/horizon-files-prod/ed/picture/qngxm6xv/25effd30aa407f53399c052aeb82f9992908ceb7.jpg"
"1717212281-112","https://www.expat-dakar.com/cuisinieres-fours?page=9","CUISINIÈRE TECHNOLUX 5FEUX INOX 90X60 FULL OPIONS
Neuf
Plateau,
Dakar

11. mai, 01:26

234 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/cuisiniere-technolux-5feux-inox-90x60-full-opions-6067505","CUISINIÈRE TECHNOLUX 5FEUX INOX 90X60 FULL OPIONS","Plateau

Dakar","234 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca67271fa2275a2f96e02614ae582a2a/-/horizon-files-prod/ed/picture/qngxm6xv/25effd30aa407f53399c052aeb82f9992908ceb7.jpg"
"1717212282-113","https://www.expat-dakar.com/cuisinieres-fours?page=9","Machine 3 En 1 Micro-onde Four Machine à Café
Neuf
Grand-Dakar,
Dakar

11. mai, 11:18

35 000 F Cfa

782963838

762963434

771874229","https://www.expat-dakar.com/annonce/machine-3-en-1-micro-onde-four-machine-a-cafe-6049950","Machine 3 En 1 Micro-onde Four Machine à Café","Grand-Dakar

Dakar","35 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e3a59acd3cf7db4c0bb854a96c2cd908/-/horizon-files-prod/ed/picture/qwe242v6/315f404accb95d1b3d68be354a60986981a06bf5.jpg"
"1717212283-113","https://www.expat-dakar.com/cuisinieres-fours?page=9","Machine 3 En 1 Micro-onde Four Machine à Café
Neuf
Grand-Dakar,
Dakar

11. mai, 11:18

35 000 F Cfa

782963838

762963434

771874229","https://www.expat-dakar.com/annonce/machine-3-en-1-micro-onde-four-machine-a-cafe-6049950","Machine 3 En 1 Micro-onde Four Machine à Café","Grand-Dakar

Dakar","35 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e3a59acd3cf7db4c0bb854a96c2cd908/-/horizon-files-prod/ed/picture/qwe242v6/315f404accb95d1b3d68be354a60986981a06bf5.jpg"
"1717212286-114","https://www.expat-dakar.com/cuisinieres-fours?page=9","Allume Charbon Electrique Brûleur à Charbon Portable
Neuf
Castor,
Dakar

11. mai, 11:42

12 000 F Cfa

771452029

762809427","https://www.expat-dakar.com/annonce/allume-charbon-electrique-bruleur-a-charbon-portable-5583541","Allume Charbon Electrique Brûleur à Charbon Portable","Castor

Dakar","12 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/75716f1dbec73fb7809750a1a285b4bd/-/horizon-files-prod/ed/picture/q566jzpr/2a58a4669e899f498589c7e923aebddcd7edc871.jpg"
"1717212289-115","https://www.expat-dakar.com/cuisinieres-fours?page=9","Cuisinière4feux tecnolux
Neuf
Liberte 5,
Dakar

12. mai, 19:14

130 000 F Cfa

776306611

777351602

775404816","https://www.expat-dakar.com/annonce/cuisiniere4feux-tecnolux-5961751","Cuisinière4feux tecnolux","Liberte 5

Dakar","130 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f814d8a39541ca71f4bab2a4bd3f8e2a/-/horizon-files-prod/ed/picture/qq476jxn/2782b04dadd1e4b104a6fdda701b82fa84e2aa1e.jpg"
"1717212290-115","https://www.expat-dakar.com/cuisinieres-fours?page=9","Cuisinière4feux tecnolux
Neuf
Liberte 5,
Dakar

12. mai, 19:14

130 000 F Cfa

776306611

777351602

775404816","https://www.expat-dakar.com/annonce/cuisiniere4feux-tecnolux-5961751","Cuisinière4feux tecnolux","Liberte 5

Dakar","130 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f814d8a39541ca71f4bab2a4bd3f8e2a/-/horizon-files-prod/ed/picture/qq476jxn/2782b04dadd1e4b104a6fdda701b82fa84e2aa1e.jpg"
