details,etat,adresse,prix,image_lien
Congélateur Astech Horizontal 280L,Neuf,Point-e Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba2b0314cfb2c1f812adc0adfbeab04f/-/horizon-files-prod/ed/picture/q8v5q04x/e19fd313c8dbcf66377fc7a4a44ffb7509e2a5fa.jpg
Réfrigérateur mini bar Haier HR-80VNBS – 50L,Neuf,Colobane Dakar,65000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f2310a33b6c0537fe1bf14032a4200f/-/horizon-files-prod/ed/picture/qq47e0xn/d755427e6b3856c6cb639e1afa0472f4824136de.png
Congélateur 190L,Neuf,Sicap Liberté Dakar,109000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/03a7e9dc39821252fcefb52d7733201e/-/horizon-files-prod/ed/picture/q9m94097/e0d76b5283fbe54a8d083a33a9d8100cd0219964.jpg
Congélateur 300L,Neuf,Sicap Liberté Dakar,179000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f715e6068df55af25095adb7daa12a75/-/horizon-files-prod/ed/picture/qv4enmgg/6940b026c2a7236763c0a647a7666a22d2aa099c.jpg
Congélateur 400L smart technology,Neuf,Sicap Liberté Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/200707eb07bdab1adaf870413a7ba5ea/-/horizon-files-prod/ed/picture/q448ej29/51ea96287f09869ce3486a401f494357f2509603.jpg
Frigo congélateur,Neuf,Plateau Dakar,90000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de6a678f59a420b27f59d7e50ebdf5ae/-/horizon-files-prod/ed/picture/q8v5q08r/8033d8d37b61380966e2194212fb63a05acfe43e.jpg
PROMO RÉFRIGÉRATEUR 197LITRES ASTECH COMBINÉ 4TIROIRS,Neuf,Plateau Dakar,295000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3864dab24d038464d12142008c4efccb/-/horizon-files-prod/ed/picture/qq47p4qn/b48eb99e1a0db8d6114ec4fcb172de005284bba0.jpg
PROMO CONGÉLATEUR 185LITRES ASTECH VERTICAL 6TIROIRS,Neuf,Plateau Dakar,189000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de9cd374aa8175a4efd266f8c77bfa63/-/horizon-files-prod/ed/picture/q8v5qv07/304da5a7bdf00c921b38e4feea9375db73aff86a.jpg
PROMO CONGÉLATEUR 920LITRES ASTECH HORIZONTAL,Neuf,Plateau Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/08cda2df708736e9ee6076e929aaf8a3/-/horizon-files-prod/ed/picture/qkrg9rrm/99be43e9716ec90a4173da60c2c80a9158d579e3.jpg
PROMO CONGÉLATEUR 400LITRES ASTECH SILVER,Neuf,Plateau Dakar,219000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df96d8c3c7fb034e9d2e05c9f72c73be/-/horizon-files-prod/ed/picture/qj4rv444/a4b27dd7e39ef4134313ac4f20828c8def2a0212.jpg
PROMO RÉFRIGÉRATEUR 337LITRES SMART TECHNOLOGY SIDE BY SIDE,Neuf,Plateau Dakar,549000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e744d98e5b381ca34b63c7fe3068ac0/-/horizon-files-prod/ed/picture/qngxrggk/073c1bcd24fc8822cd35a67517324c50b261780f.jpg
PROMO RÉFRIGÉRATEUR 635LITRES SHARP SIDE BY SIDE 2PORTES,Neuf,Plateau Dakar,579000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f36b9346a9e98a75b6b9c5854590fc5c/-/horizon-files-prod/ed/picture/q8v5qvv7/52cee84e3f14b44a2917e3357499c1a8b10aa68d.jpg
Réfrigérateur bar 2 porte smart,Neuf,Colobane Dakar,89900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5bfe03c7c976ef116271a8da1829ee1/-/horizon-files-prod/ed/picture/qm5p855z/01a4166919d9a45dcae5af61ac79cca20fa49266.jpg
